Synonyms,Glossary,Synset in hierarchy,,,,,,,,,Synset,Label,PossibleNone,Familiar,UnfamiliarANDunsure,Notes
polo_shirt sport_shirt,a shirt with short sleeves designed for comfort and casual wear,,,"[Synset('polo_shirt.n.01')],",,,,,,,Synset('polo_shirt.n.01'),l,,y,,
coatee,a short close-fitting coat,,,,"[Synset('coatee.n.01')],",,,,,,Synset('coatee.n.01'),l,,y,,
jacket,a short coat,,,,"[Synset('jacket.n.01'),",,,,,,Synset('jacket.n.01'),b,,y,x,"subordinate of coat, but used as basic level"
box_coat,a short coat that hangs loosely from the shoulders,,,,"[Synset('box_coat.n.01')],",,,,,,Synset('box_coat.n.01'),l,,y,,
bolero,a short jacket; worn mostly by women,,,,,"[Synset('bolero.n.02')],",,,,,Synset('bolero.n.02'),l,,y,,
chlamys,a short mantle or cape fastened at the shoulder; worn by men in ancient Greece,,,,,"[Synset('chlamys.n.02')],",,,,,Synset('chlamys.n.02'),l,,y,,
mackinaw Mackinaw_coat,a short plaid coat made of made of thick woolen material,,,,"[Synset('mackinaw.n.01')],",,,,,,Synset('mackinaw.n.01'),l,,y,,
tabard,a short sleeveless outer tunic emblazoned with a coat of arms; worn by a knight over his armor or by a herald,,,,,"[Synset('tabard.n.01')]],",,,,,Synset('tabard.n.01'),l,,y,,
camisole underbodice,a short sleeveless undergarment for women,,,"[Synset('camisole.n.01')],",,,,,,,Synset('camisole.n.01'),l,,y,,
donkey_jacket,a short thick jacket; often worn by workmen,,,,,"[Synset('donkey_jacket.n.01')],",,,,,Synset('donkey_jacket.n.01'),l,,y,,
lumberjack lumber_jacket,a short warm outer jacket,,,,,"[Synset('lumberjack.n.02')],",,,,,Synset('lumberjack.n.02'),l,,y,,
lavalava,a skirt consisting of a rectangle of calico or printed cotton; worn by Polynesians (especially Samoans),,,"[Synset('lavalava.n.01')],",,,,,,,Synset('lavalava.n.01'),l,,y,,
grass_skirt,a skirt made of long blades of grass,,,"[Synset('grass_skirt.n.01')],",,,,,,,Synset('grass_skirt.n.01'),l,,y,,
hoopskirt crinoline,a skirt stiffened with hoops,,,"[Synset('hoopskirt.n.01')],",,,,,,,Synset('hoopskirt.n.01'),l,,y,,
gathered_skirt,a skirt whose fabric is drawn together around the waist,,,"[Synset('gathered_skirt.n.01'),",,,,,,,Synset('gathered_skirt.n.01'),l,,y,,
pelisse,a sleeveless cape that is lined or trimmed with fur,,,,,"[Synset('pelisse.n.01')],",,,,,Synset('pelisse.n.01'),l,,y,,
cape mantle,a sleeveless garment like a cloak but shorter,,,,"[Synset('cape.n.02'),",,,,,,Synset('cape.n.02'),l,,y,,
gymslip,a sleeveless tunic worn by English girls as part of a school uniform,,,,,"[Synset('gymslip.n.01')],",,,,,Synset('gymslip.n.01'),l,,y,,
kerchief,a square scarf that is folded into a triangle and worn over the head or about the neck,,,"[Synset('kerchief.n.01'),",,,,,,,Synset('kerchief.n.01'),l,,y,,
puttee,a strip of cloth wound around the leg to form legging; used by soldiers in World War I,,,"[Synset('puttee.n.01')],",,,,,,,Synset('puttee.n.01'),l,,n,,
single-breasted_suit,a suit having a single-breasted jacket,,,"[Synset('single-breasted_suit.n.01')],",,,,,,,Synset('single-breasted_suit.n.01'),l,,y,,
pinstripe,a suit made from a fabric with very thin stripes,,,"[Synset('pinstripe.n.01')],",,,,,,,Synset('pinstripe.n.01'),l,,y,,
business_suit,a suit of clothes traditionally worn by businessmen,,,"[Synset('business_suit.n.01'),",,,,,,,Synset('business_suit.n.01'),l,,y,,
double-breasted_suit,a suit with a double-breasted jacket,,,"[Synset('double-breasted_suit.n.01')],",,,,,,,Synset('double-breasted_suit.n.01'),l,,y,,
turtleneck turtle polo-neck,a sweater or jersey with a high close-fitting collar,,,,"[Synset('turtleneck.n.01')]],",,,,,,Synset('turtleneck.n.01'),l,,y,,
turtleneck turtle polo-neck,a sweater or jersey with a high close-fitting collar,,,"[Synset('turtleneck.n.01')]],",,,,,,,Synset('turtleneck.n.01'),x,,y,,duplicate
pullover slipover,a sweater that is put on by pulling it over the head,,,"[Synset('pullover.n.01'),",,,,,,,Synset('pullover.n.01'),l,,y,,
jerkin,a tight sleeveless and collarless jacket (often made of leather) worn by men in former times,,,,,"[Synset('jerkin.n.01')],",,,,,Synset('jerkin.n.01'),l,,y,,
leotard unitard body_suit cat_suit,a tight-fitting garment of stretchy material that covers the body from the shoulders to the thighs (and may have long sleeves or legs reaching down to the ankles); worn by ballet dancers and acrobats for practice or performance,,"[Synset('leotard.n.01')],",,,,,,,,Synset('leotard.n.01'),b,,y,,
tank_top,a tight-fitting sleeveless shirt with wide shoulder straps and low neck and no front opening; often worn over a shirt or blouse,,,"[Synset('tank_top.n.01')],",,,,,,,Synset('tank_top.n.01'),l,,y,,
surcoat,a tunic worn over a knight's armor,,,,,"[Synset('surcoat.n.02')],",,,,,Synset('surcoat.n.02'),l,,y,,
string_tie,a very narrow necktie usually tied in a bow,,,,"[Synset('string_tie.n.01')],",,,,,,Synset('string_tie.n.01'),l,,y,,
miniskirt mini,a very short skirt,,,"[Synset('miniskirt.n.01')],",,,,,,,Synset('miniskirt.n.01'),l,,y,,
bulletproof_vest,a vest capable of resisting the impact of a bullet,,,"[Synset('bulletproof_vest.n.01')]],",,,,,,,Synset('bulletproof_vest.n.01'),l,x,y,,
izar,a voluminous cotton outer garment (usually white) traditionally worn by Muslim women of northern Africa and the Middle East; covers the entire body,,,"[Synset('izar.n.01')],",,,,,,,Synset('izar.n.01'),b,,n,x,sounds like basic level from description but unsure on item 
duffel_coat duffle_coat,a warm coat made of duffel; usually has a hood and fastens with toggles,,,,"[Synset('duffel_coat.n.01')],",,,,,,Synset('duffel_coat.n.01'),l,,y,,
raincoat waterproof,a water-resistant coat,,,,"[Synset('raincoat.n.01'),",,,,,,Synset('raincoat.n.01'),l,,y,,
macintosh mackintosh mac mack,a waterproof raincoat made of rubberized fabric,,,,,"[Synset('macintosh.n.02'),",,,,,Synset('macintosh.n.02'),l,,y,,
garter_belt suspender_belt,a wide belt of elastic with straps hanging from it; worn by women to hold up stockings,,,"[Synset('garter_belt.n.01')],",,,,,,,Synset('garter_belt.n.01'),l,x,y,,
Windsor_tie,a wide necktie worn in a loose bow,,,,"[Synset('windsor_tie.n.01')]]],",,,,,,Synset('windsor_tie.n.01'),l,,y,,
stole,a wide scarf worn about their shoulders by women,,,"[Synset('stole.n.01')],",,,,,,,Synset('stole.n.01'),l,,n,,
dolman,a woman's cloak with dolman sleeves,,,,"[Synset('dolman.n.02')],",,,,,,Synset('dolman.n.02'),l,,y,,
corset girdle stays,a woman's close-fitting foundation garment,,,,"[Synset('corset.n.01'),",,,,,,Synset('corset.n.01'),b,,y,,may be subordinate - but is distinct and differentiated from other terms
hug-me-tight,a woman's fitted jacket,,,,,"[Synset('hug-me-tight.n.01')],",,,,,Synset('hug-me-tight.n.01'),l,,y,,
roll-on,a woman's foundation garment rolled on to the hips,,,,"[Synset('roll-on.n.02')]],",,,,,,Synset('roll-on.n.02'),l,x,y,,
sack sacque,a woman's full loose hiplength jacket,,,,,"[Synset('sack.n.05')],",,,,,Synset('sack.n.05'),l,,y,,
tippet,a woman's fur shoulder cape with hanging ends; often consisting of the whole fur of a fox or marten,,,,,"[Synset('tippet.n.01')]],",,,,,Synset('tippet.n.01'),l,,y,,
babushka,a woman's headscarf folded into a triangle and tied under the chin; worn by Russian peasant women,,,,,"[Synset('babushka.n.01')],",,,,,Synset('babushka.n.01'),l,,y,,
dressing_sack dressing_sacque,a woman's loose jacket; worn while dressing,,,,,"[Synset('dressing_sack.n.01')],",,,,,Synset('dressing_sack.n.01'),l,,y,,
maillot tank_suit,a woman's one-piece bathing suit,,,"[Synset('maillot.n.01')],",,,,,,,Synset('maillot.n.01'),l,,n,,
topper,a woman's short coat,,,,"[Synset('topper.n.05')]],",,,,,,Synset('topper.n.05'),l,,y,,
mantilla,a woman's silk or lace scarf,,,"[Synset('mantilla.n.01')],",,,,,,,Synset('mantilla.n.01'),l,,y,,
chemise shimmy shift slip teddy,a woman's sleeveless undergarment,,,"[Synset('chemise.n.01')],",,,,,,,Synset('chemise.n.01'),l,,y,,
panty_girdle,a woman's undergarment that combines a girdle and panties,,,,,"[Synset('panty_girdle.n.01')]],",,,,,Synset('panty_girdle.n.01'),l,,y,,
foundation_garment foundation,a woman's undergarment worn to give shape to the contours of the body,,,"[Synset('foundation_garment.n.01'),",,,,,,,Synset('foundation_garment.n.01'),l,x,y,,
bikini two-piece,a woman's very brief bathing suit,,,"[Synset('bikini.n.02')],",,,,,,,Synset('bikini.n.02'),b,,y,,
chiton,a woolen tunic worn by men and women in ancient Greece,,,,,"[Synset('chiton.n.01')],",,,,,Synset('chiton.n.01'),l,,y,,
garment,an article of clothing,"[Synset('garment.n.01'),",,,,,,,,,Synset('garment.n.01'),h,,y,,
neckcloth stock,an ornamental white cravat,,,,"[Synset('neckcloth.n.01')]],",,,,,,Synset('neckcloth.n.01'),l,,y,,
haik haick,an outer garment consisting of a large piece of white cloth; worn by men and women in northern Africa,,"[Synset('haik.n.01')],",,,,,,,,Synset('haik.n.01'),l,,n,x,may be basic level as can refer to many types but unsure of what it is 
coat,an outer garment that has sleeves and covers the body from shoulder down; worn outdoors,,,"[Synset('coat.n.01'),",,,,,,,Synset('coat.n.01'),b,,y,,
overskirt,an outer skirt worn over another skirt,,,"[Synset('overskirt.n.01')],",,,,,,,Synset('overskirt.n.01'),l,,y,,
hair_shirt,an uncomfortable shirt made of coarse animal hair; worn next to the skin as a penance,,,"[Synset('hair_shirt.n.01')],",,,,,,,Synset('hair_shirt.n.01'),l,,n,,
underpants,an undergarment that covers the body from the waist no further than to the thighs; usually worn next to the skin,,,"[Synset('underpants.n.01'),",,,,,,,Synset('underpants.n.01'),l,,y,,
long_underwear union_suit,an undergarment with shirt and drawers in one piece,,,"[Synset('long_underwear.n.01')],",,,,,,,Synset('long_underwear.n.01'),l,x,y,,
brassiere bra bandeau,an undergarment worn by women to support their breasts,,,"[Synset('brassiere.n.01'),",,,,,,,Synset('brassiere.n.01'),b,,y,,
robe,any loose flowing garment,,"[Synset('robe.n.01'),",,,,,,,,Synset('robe.n.01'),b,,y,,
tunic,any of a variety of loose fitting cloaks extending to the hips or knees,,,,"[Synset('tunic.n.02'),",,,,,,Synset('tunic.n.02'),l,,y,,
neckwear,articles of clothing worn about the neck,,"[Synset('neckwear.n.01'),",,,,,,,,Synset('neckwear.n.01'),h,,y,,
white_tie,bow tie worn as part of a man's formal evening dress,,,,,"[Synset('white_tie.n.01')]],",,,,,Synset('white_tie.n.01'),l,,y,,
buckskins,breeches made of buckskin,,,,"[Synset('buckskins.n.01')],",,,,,,Synset('buckskins.n.01'),l,,y,,
slack_suit,casual dress consisting of slacks and matching jacket,,,"[Synset('slack_suit.n.01'),",,,,,,,Synset('slack_suit.n.01'),l,,y,,
shawl,cloak consisting of an oblong piece of cloth used to cover the head and shoulders,,,,"[Synset('shawl.n.01'),",,,,,,Synset('shawl.n.01'),l,,y,,
pallium,cloak or mantle worn by men in ancient Rome,,,,"[Synset('pallium.n.04')],",,,,,,Synset('pallium.n.04'),l,,y,,
wrap wrapper,cloak that is folded or wrapped around a person,,,,"[Synset('wrap.n.01')]],",,,,,,Synset('wrap.n.01'),l,,y,,
sweatshirt,cotton knit pullover with long sleeves worn during athletic activity,,,,"[Synset('sweatshirt.n.01')]],",,,,,,Synset('sweatshirt.n.01'),b,,y,,subordinate of sweater but used as BL for jumpers
cords corduroys,cotton trousers made of corduroy cloth,,,"[Synset('cords.n.01')],",,,,,,,Synset('cords.n.01'),l,,y,,
jodhpurs jodhpur_breeches riding_breeches,flared trousers ending at the calves; worn with riding boots,,,"[Synset('jodhpurs.n.01')],",,,,,,,Synset('jodhpurs.n.01'),l,,n,,
mink mink_coat,fur coat made from the soft lustrous fur of minks,,,,,"[Synset('mink.n.02')],",,,,,Synset('mink.n.02'),l,,y,,
diaper nappy napkin,garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement,,"[Synset('diaper.n.01')],",,,,,,,,Synset('diaper.n.01'),b,,y,,standard term for nappies 
scapular scapulary,garment consisting of a long wide piece of woolen cloth worn over the shoulders with an opening for the head; part of a monastic habit,,"[Synset('scapular.n.02')],",,,,,,,,Synset('scapular.n.02'),l,x,n,,perhaps no basic level as general term but for specific item?
stomacher,garment consisting of a V-shaped panel of stiff material worn over the chest and stomach in the 16th century,,"[Synset('stomacher.n.01')],",,,,,,,,Synset('stomacher.n.01'),l,,y,,
sweat_suit sweatsuit sweats workout_suit,garment consisting of sweat pants and a sweatshirt,,"[Synset('sweat_suit.n.01')],",,,,,,,,Synset('sweat_suit.n.01'),l,,y,,
ironing,garments (clothes or linens) that are to be (or have been) ironed,,"[Synset('ironing.n.01'),",,,,,,,,Synset('ironing.n.01'),h,x,y,,perhaps none as can refer to any object that has been ironed/needs/is being ironed?
laundry wash washing washables,garments or white goods that can be cleaned by laundering,,"[Synset('laundry.n.01')],",,,,,,,,Synset('laundry.n.01'),h,x,y,,perhaps no basic level as can refer to any garment that can be laundered 
mending,garments that must be repaired,,"[Synset('mending.n.01')],",,,,,,,,Synset('mending.n.01'),h,x,y,x,perhaps no basic level as any garment can fit requirement if it needs fixed
work-shirt,heavy-duty shirts worn for manual or physical work,,,"[Synset('work-shirt.n.01')]],",,,,,,,Synset('work-shirt.n.01'),l,,y,,
britches,informal term for breeches,,,,"[Synset('britches.n.01')],",,,,,,Synset('britches.n.01'),l,,y,,
flatwork flat_wash,ironing that can be done mechanically,,,"[Synset('flatwork.n.01')]],",,,,,,,Synset('flatwork.n.01'),b,x,y,x,perhaps no basic level as can be done to any garment?
cardigan,knitted jacket that is fastened up the front with buttons or a zipper,,,"[Synset('cardigan.n.01')],",,,,,,,Synset('cardigan.n.01'),b,,y,,
lederhosen,leather shorts often worn with suspenders; worn especially by men and boys in Bavaria,,,,"[Synset('lederhosen.n.01')]],",,,,,,Synset('lederhosen.n.01'),l,,y,,
gaiter,legging consisting of a cloth or leather covering for the leg from the knee to the ankle,,,"[Synset('gaiter.n.03')],",,,,,,,Synset('gaiter.n.03'),l,,n,,specific type of leggings/trousers
cagoule,lightweight parka; waterproof,,,,,,"[Synset('cagoule.n.01')],",,,,Synset('cagoule.n.01'),l,,y,,
blazer sport_jacket sport_coat sports_jacket sports_coat,lightweight single-breasted jacket; often striped in the colors of a club or school,,,,,"[Synset('blazer.n.01')],",,,,,Synset('blazer.n.01'),l,,y,,
nightgown gown nightie night-robe nightdress,lingerie consisting of a loose dress designed to be worn in bed by women,,,,,"[Synset('nightgown.n.01')],",,,,,Synset('nightgown.n.01'),l,,y,,
ulster,loose long overcoat of heavy fabric; usually belted,,,,,"[Synset('ulster.n.02')]],",,,,,Synset('ulster.n.02'),l,,y,,
Norfolk_jacket,loose-fitting single-breasted jacket,,,,,"[Synset('norfolk_jacket.n.01')],",,,,,Synset('norfolk_jacket.n.01'),l,,y,,
sweat_pants sweatpants,loose-fitting trousers with elastic cuffs; worn by athletes,,,"[Synset('sweat_pants.n.01')],",,,,,,,Synset('sweat_pants.n.01'),l,,y,,
hose,man's close-fitting garment of the 16th and 17th centuries covering the legs and reaching up to the waist; worn with a doublet,,"[Synset('hose.n.02')],",,,,,,,,Synset('hose.n.02'),l,x,n,,perhaps no basic level - unsure what item is (similar to tights as americans call them panty-hose?) so could also be basic level 
sack_coat,man's hiplength coat with a straight back; the jacket of a suit,,,,"[Synset('sack_coat.n.01')],",,,,,,Synset('sack_coat.n.01'),l,,y,,
plus_fours,men's baggy knickers hanging below the knees; formerly worn for sports (especially golf),,,,"[Synset('plus_fours.n.01')],",,,,,,Synset('plus_fours.n.01'),l,,y,,
Skivvies,men's underwear consisting of cotton T-shirt and shorts,,,,"[Synset('skivvies.n.01')]]],",,,,,,Synset('skivvies.n.01'),l,,y,,
old_school_tie,necktie indicating the school the wearer attended,,,,"[Synset('old_school_tie.n.01')],",,,,,,Synset('old_school_tie.n.01'),l,,y,,
necktie tie,neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front,,,"[Synset('necktie.n.01'),",,,,,,,Synset('necktie.n.01'),b,,y,,tie' would be basic leve
cravat,neckwear worn in a slipknot with long ends overlapping vertically in front,,,"[Synset('cravat.n.01'),",,,,,,,Synset('cravat.n.01'),l,,y,x,
jump_suit jumpsuit,one-piece garment fashioned after a parachutist's uniform,,"[Synset('jump_suit.n.01')],",,,,,,,,Synset('jump_suit.n.01'),b,,y,,clear idea of type of garments from name - basic level
hand-me-down,outgrown garment passed down from one person to another,,"[Synset('hand-me-down.n.01')],",,,,,,,,Synset('hand-me-down.n.01'),h,x,y,,perhaps none as can refer to any object that has been owned by someone else 
gown surgical_gown scrubs,protective garment worn by surgeons during operations,,"[Synset('gown.n.04')],",,,,,,,,Synset('gown.n.04'),l,x,y,,"with this definition superordinate, but general term - perhap no basic level"
trunk_hose,puffed breeches of the 16th and 17th centuries usually worn over hose,,,,"[Synset('trunk_hose.n.01')]],",,,,,,Synset('trunk_hose.n.01'),l,,y,,
mantelet mantilla,short cape worn by women,,,,,"[Synset('mantelet.n.02')],",,,,,Synset('mantelet.n.02'),l,,y,,
Bermuda_shorts Jamaica_shorts,short pants that end at the knee,,,,"[Synset('bermuda_shorts.n.01')],",,,,,,Synset('bermuda_shorts.n.01'),l,,y,,
briefs Jockey_shorts,short tight-fitting underpants (trade name Jockey shorts),,,,"[Synset('briefs.n.01')],",,,,,,Synset('briefs.n.01'),l,,y,,
pantie panty scanty step-in,short underpants for women or children (usually used in the plural),,,,"[Synset('pantie.n.01')],",,,,,,Synset('pantie.n.01'),l,,y,,
hot_pants,skin-tight very short pants worn by young women as an outer garment,,,,"[Synset('hot_pants.n.02')],",,,,,,Synset('hot_pants.n.02'),l,,y,,
bikini_pants,small and tight-fitting underpants; worn by women,,,,"[Synset('bikini_pants.n.01')],",,,,,,Synset('bikini_pants.n.01'),l,,y,,
pedal_pusher toreador_pants,snug trousers ending at the calves; worn by women and girls,,,"[Synset('pedal_pusher.n.01')],",,,,,,,Synset('pedal_pusher.n.01'),l,,y,,
swimming_trunks bathing_trunks,swimsuit worn by men while swimming,,,"[Synset('swimming_trunks.n.01')]],",,,,,,,Synset('swimming_trunks.n.01'),l,,y,,
silks,the brightly colored garments of a jockey; emblematic of the stable,,"[Synset('silks.n.01')],",,,,,,,,Synset('silks.n.01'),l,x,n,x,"perhaps no basic level, as unsure what it is subordinate of "
yashmak yashmac,the face veil worn by Muslim women,,,"[Synset('yashmak.n.01')]],",,,,,,,Synset('yashmak.n.01'),l,,y,x,distinctive type of head covering may be basic
swimsuit swimwear bathing_suit swimming_costume bathing_costume,tight fitting garment worn for swimming,,"[Synset('swimsuit.n.01'),",,,,,,,,Synset('swimsuit.n.01'),b,,y,,
churidars,tight trousers worn by people from the Indian subcontinent (typically with a kameez or kurta),,,"[Synset('churidars.n.01')],",,,,,,,Synset('churidars.n.01'),l,,n,,
trews,tight-fitting trousers; usually of tartan,,,"[Synset('trews.n.01')]],",,,,,,,Synset('trews.n.01'),l,,y,,
BVD BVD's,trademark for men's underwear,,,,"[Synset('bvd.n.01')],",,,,,,Synset('bvd.n.01'),l,,y,,
breeches knee_breeches knee_pants knickerbockers knickers,trousers ending above the knee,,,"[Synset('breeches.n.01'),",,,,,,,Synset('breeches.n.01'),l,,y,,
stretch_pants,trousers made of a stretchy fabric,,,"[Synset('stretch_pants.n.01')],",,,,,,,Synset('stretch_pants.n.01'),l,,y,,
chino,trousers made with chino cloth,,,"[Synset('chino.n.01')],",,,,,,,Synset('chino.n.01'),l,,y,,
long_trousers long_pants,trousers reaching to the foot,,,"[Synset('long_trousers.n.01')],",,,,,,,Synset('long_trousers.n.01'),l,,y,,
short_pants shorts trunks,trousers that end at or above the knee,,,"[Synset('short_pants.n.01'),",,,,,,,Synset('short_pants.n.01'),l,,y,,
bellbottom_trousers bell-bottoms bellbottom_pants,trousers with legs that flare; worn by sailors; absurdly wide hems were fashionable in the 1960s,,,"[Synset('bellbottom_trousers.n.01')],",,,,,,,Synset('bellbottom_trousers.n.01'),l,,y,,
pantaloon,trousers worn in former times,,,"[Synset('pantaloon.n.03')],",,,,,,,Synset('pantaloon.n.03'),l,,y,,
underwear underclothes underclothing,undergarment worn next to the skin and under the outer garments,,,"[Synset('underwear.n.01'),",,,,,,,Synset('underwear.n.01'),b,,y,,
petticoat half-slip underskirt,undergarment worn under a skirt,,,"[Synset('petticoat.n.01'),",,,,,,,Synset('petticoat.n.01'),l,,y,,
thong,underpants resembling a G-string; worn by women especially under very tight pants,,,,"[Synset('thong.n.02')]],",,,,,,Synset('thong.n.02'),l,,y,,
drawers underdrawers shorts boxers boxershorts,underpants worn by men,,,,"[Synset('drawers.n.01')],",,,,,,Synset('drawers.n.01'),l,,y,,
bloomers pants drawers knickers,underpants worn by women,,,,"[Synset('bloomers.n.01')],",,,,,,Synset('bloomers.n.01'),l,,y,,
ballet_skirt tutu,very short skirt worn by ballerinas,,,"[Synset('ballet_skirt.n.01')],",,,,,,,Synset('ballet_skirt.n.01'),l,,y,,
mess_jacket monkey_jacket shell_jacket,waist-length jacket tapering to a point at the back; worn by officers in the mess for formal dinners,,,,,"[Synset('mess_jacket.n.01')],",,,,,Synset('mess_jacket.n.01'),l,,y,,
long_johns,warm underwear with long legs,,,,"[Synset('long_johns.n.01')],",,,,,,Synset('long_johns.n.01'),l,x,y,,
undies,women's underwear,,,,,"[Synset('undies.n.01')]],",,,,,Synset('undies.n.01'),h,,y,,
lingerie intimate_apparel,women's underwear and nightclothes,,,,"[Synset('lingerie.n.01'),",,,,,,Synset('lingerie.n.01'),h,x,y,,