,Synonyms,Glossary,Synset in hierarchy,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,A1_Label,Label,A3_Label,A1_Familiar,Familiar,A3_Familiar,A1_Unfamiliar,UnfamiliarANDunsure,A3_Unfamiliar,A1_Notes,Notes,A3_Notes
0,hand_tool,a tool used with workers' hands,"[Synset('hand_tool.n.01'),",,,,,,h,h,h,yes,y,,,,,,,
1,awl,a pointed tool for marking surfaces or for punching small holes,,"[Synset('awl.n.01'),",,,,,b,b,b,yes,y,,,,,ik ken het woord niet,,Googled and all images looked alike 
2,bradawl pricker,an awl for making small holes for brads or small screws,,,"[Synset('bradawl.n.01')],",,,,l,l,l,no,n,,,,,,,
3,scriber scribe scratch_awl,a sharp-pointed awl for marking wood or metal to be cut,,,"[Synset('scriber.n.01')]],",,,,l,l,l,no,n,,,,,,,
4,bevel bevel_square,a hand tool consisting of two rules that are hinged together so you can draw or measure angles of any size,,"[Synset('bevel.n.02')],",,,,,b,b,b,yes,n,,,,,"zwaaihaak, het engelse woord kende ik niet",,Googled bevel square and images looked alike
5,bodkin,a small sharp-pointed tool for punching holes in leather or fabric,,"[Synset('bodkin.n.03')],",,,,,l,l,b,no,n,,x,,,basic level would be needle?,type of awl?,
6,bodkin threader,a blunt needle for threading ribbon through loops,,"[Synset('bodkin.n.04')],",,,,,l,l,l,no,n,,x,,,basic level would be needle?,type of needle,
7,crank starter,a hand tool consisting of a rotating shaft with parallel handle,,"[Synset('crank.n.04'),",,,,,b,b,h,yes,y,,,,,vooral door de karakteristieke draaiende beweging om iets omhoog te krijgen.,,
8,crank_handle starting_handle,crank used to start an engine,,,"[Synset('crank_handle.n.01')]],",,,,l,l,b,yes,n,,,,,,,
9,dibble dibber,a wooden hand tool with a pointed end; used to make holes in the ground for planting seeds or bulbs,,"[Synset('dibble.n.01')],",,,,,b,b,l,no,n,,x,,,deze tool ken ik niet,,Seems lower than awl as it is for soil but the movement would be the same so I am getting unsure
10,file,a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal,,"[Synset('file.n.04'),",,,,,b,b,b,yes,y,,,,,,,
11,blunt_file,a file with parallel edges,,,"[Synset('blunt_file.n.01')],",,,,l,l,l,yes,y,,,,,,,
12,flat_file,a file with two flat surfaces,,,"[Synset('flat_file.n.01')],",,,,l,l,l,yes,y,,,,,,,
13,nailfile,a small flat file for shaping the nails,,,"[Synset('nailfile.n.01')],",,,,l,l,l,yes,y,,,,,,,"I wanted to say basic but just because I use this tool, however since the movement is similar for files I chose file to be basic level"
14,rasp wood_file,a coarse file with sharp pointed projections,,,"[Synset('rasp.n.02')],",,,,l,l,l,yes,y,,,,,,,
15,rat-tail_file,a thin round file shaped like the tail of a rat,,,"[Synset('rat-tail_file.n.01')],",,,,l,l,l,yes,y,,,,,,,
16,round_file,a file with a circular cross section; used to file the inside of holes,,,"[Synset('round_file.n.01')],",,,,l,l,l,yes,y,,,,,,,
17,taper_file,a file with converging edges,,,"[Synset('taper_file.n.01')]],",,,,l,l,l,yes,y,,,,,,,
18,float plasterer's_float,a hand tool with a flat face used for smoothing and finishing the surface of plaster or cement or stucco,,"[Synset('float.n.05')],",,,,,b,b,b,yes,y,,,,,,,Googled and all look alike
19,graver graving_tool pointel pointrel,a tool used by an engraver,,"[Synset('graver.n.01'),",,,,,l,b,b,yes,n,,,x,,basic level is chisel? A graver is a chisel used by an engraver?,,Googled and all look alike
20,scauper scorper,a graver used to scoop out broad areas when engraving wood or metal,,,"[Synset('scauper.n.01')]],",,,,l,l,l,yes,n,,,x,,,,
21,gutter,a tool for gutting fish,,"[Synset('gutter.n.04')],",,,,,l,b,b,no,n,,x,x,,,,
22,hammer,a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking,,"[Synset('hammer.n.02'),",,,,,b,b,b,yes,y,,,,,,,
23,ball-peen_hammer,a hammer with one round and one flat end; used in working metal,,,"[Synset('ball-peen_hammer.n.01')],",,,,l,l,l,yes,y,,,,,,,
24,bricklayer's_hammer,a hammer used in laying bricks,,,"[Synset('bricklayer's_hammer.n.01')],",,,,l,l,l,yes,y,,,,,,,
25,carpenter's_hammer claw_hammer clawhammer,a hammer with a cleft at one end for pulling nails,,,"[Synset('carpenter's_hammer.n.01')],",,,,l,l,l,yes,y,,,,,,,
26,mallet beetle,a tool resembling a hammer but with a large head (usually wooden); used to drive wedges or ram down paving stones or for crushing or beating or flattening or smoothing,,,"[Synset('mallet.n.03'),",,,,l,l,b,yes,y,,,,,,,Hesitated with this one between b and l because of gavel context coming up later decided b
27,carpenter's_mallet,a short-handled mallet with a wooden head used to strike a chisel or wedge,,,,"[Synset('carpenter's_mallet.n.01')],",,,l,l,l,yes,y,,,,,,,
28,gavel,a small mallet used by a presiding officer or a judge,,,,"[Synset('gavel.n.01')]],",,,l,l,l,yes,y,,,,,,,
29,maul sledge sledgehammer,a heavy long-handled hammer used to drive stakes or wedges,,,"[Synset('maul.n.01')],",,,,l,l,l,yes,y,,,,,,,
30,plexor plessor percussor,(medicine) a small hammer with a rubber head used in percussive examinations of the chest and in testing reflexes,,,"[Synset('plexor.n.01')],",,,,l,l,l,yes,y,,,,,,,
31,tack_hammer,a light hammer that is used to drive tacks,,,"[Synset('tack_hammer.n.01')]],",,,,l,l,l,yes,y,,,,,,,
32,hand_shovel,a shovel that is operated by hand,,"[Synset('hand_shovel.n.01'),",,,,,X,l,X,yes,y ,,,,,,basic level is shovel,
33,coal_shovel,a hand shovel for shoveling coal,,,"[Synset('coal_shovel.n.01')],",,,,X,l,X,yes,y,,,,,,,
34,entrenching_tool trenching_spade,a hand shovel carried by infantrymen for digging trenches,,,"[Synset('entrenching_tool.n.01')],",,,,X,l,X,yes,y,,,,,,,
35,spade,a sturdy hand shovel that can be pushed into the earth with the foot,,,"[Synset('spade.n.02'),",,,,X,l,X,yes,y,,,,,,,
36,ditch_spade long-handled_spade,a spade with a long handle for digging narrow ditches,,,,"[Synset('ditch_spade.n.01')],",,,X,l,X,yes,y,,,,,,,
37,garden_spade,a spade used by gardeners,,,,"[Synset('garden_spade.n.01')]],",,,X,l,X,yes,y,,,,,,,
38,spud stump_spud,a sharp hand shovel for digging out roots and weeds,,,"[Synset('spud.n.02')]],",,,,X,l,X,yes,y,,,,,,,
39,marlinespike marlinspike marlingspike,a pointed iron hand tool that is used to separate strands of a rope or cable (as in splicing),,"[Synset('marlinespike.n.01')],",,,,,l,b,b,no,n,,x,x,,basic level would be spike?,,
40,miter_box mitre_box,hand tool for guiding handsaws in making crosscuts or miter joints,,"[Synset('miter_box.n.01')],",,,,,b,b,b,yes,y,,,,,verstekbak,,
41,opener,a hand tool used for opening sealed containers (bottles or cans),,"[Synset('opener.n.03'),",,,,,h,b,h,yes,y,,,,,,,
42,bottle_opener,an opener for removing caps or corks from bottles,,,"[Synset('bottle_opener.n.01'),",,,,h,l,b,yes,y,,,,,,,
43,cap_opener,a bottle opener to pry off caps,,,,"[Synset('cap_opener.n.01')],",,,b,l,l,yes,y,,,,,,,
44,corkscrew bottle_screw,a bottle opener that pulls corks,,,,"[Synset('corkscrew.n.01')]],",,,b,b,l,yes,y,,,,,,,
45,can_opener tin_opener,a device for cutting cans open,,,"[Synset('can_opener.n.01'),",,,,b,b,b,yes,y,,,,,,,
46,church_key,can opener that has a triangular pointed end that pierces the tops of cans,,,,"[Synset('church_key.n.01')]],",,,l,l,l,yes,y,,,,,,,
47,latchstring,opener consisting of a string that can be passed through a hole in a door for raising the latch from outside,,,"[Synset('latchstring.n.01')]],",,,,l,b,b,yes,y,,,,,A general item (a string) used in a very specific context,do not agree this is under opener,
48,pallet,a hand tool with a flat blade used by potters for mixing and shaping clay,,"[Synset('pallet.n.03')],",,,,,l,b,b,no,n,,x,x,,,,Googling this one brought up something else so could be h but glossary entails b to me
49,pestle,a club-shaped hand tool for grinding and mixing substances in a mortar,,"[Synset('pestle.n.03')],",,,,,b,b,b,yes,y,,,,,,,
50,pick,a thin sharp implement used for removing unwanted material,,"[Synset('pick.n.06'),",,,,,h,h,h,yes,y,,,,,,,
51,icepick ice_pick,pick consisting of a steel rod with a sharp point; used for breaking up blocks of ice,,,"[Synset('icepick.n.01')],",,,,b,b,b,yes,y,,,,,,,
52,toothpick,pick consisting of a small strip of wood or plastic; used to pick food from between the teeth,,,"[Synset('toothpick.n.01')]],",,,,b,b,b,yes,y,,,,,,,
53,pincer pair_of_pincers tweezer pair_of_tweezers,a hand tool for holding consisting of a compound lever for grasping,,"[Synset('pincer.n.01'),",,,,,b,b,b,yes,y,,,,,eigenlijk is de supercategorie van pincers en pliers het basic level. ,,
54,roach_clip roach_holder,metal tweezers used by marijuana smokers to hold a roach,,,"[Synset('roach_clip.n.01')]],",,,,l,l,l,yes,n,,,,,,basic level is clip,
55,pipe_cutter,a hand tool for cutting pipe,,"[Synset('pipe_cutter.n.01')],",,,,,l,b,b,yes,y,,,,,,,
56,pitchfork,a long-handled hand tool with sharp widely spaced prongs for lifting and pitching hay,,"[Synset('pitchfork.n.01')],",,,,,b,b,b,yes,y,,,,,very recognisible form (I can imaging this is higlhy culture dependent),,
57,plane carpenter's_plane woodworking_plane,a carpenter's hand tool with an adjustable blade for smoothing or shaping wood,,"[Synset('plane.n.05'),",,,,,b,b,b,yes,y,,,,,,,
58,beading_plane,a plane with a concave blade for making moulding with beadwork,,,"[Synset('beading_plane.n.01')],",,,,l,l,l,no,y,,,,,,,
59,block_plane,a small plane used on end grains of wood,,,"[Synset('block_plane.n.01')],",,,,l,l,l,yes,y,,,,,,,
60,bullnose bullnosed_plane,a small carpenter's plane with the cutting edge near the front,,,"[Synset('bullnose.n.01')],",,,,l,l,l,no,n,,,,,,,
61,chamfer_plane,a plane that makes a beveled edge,,,"[Synset('chamfer_plane.n.01')],",,,,l,l,l,no,n,,,,,,,
62,circular_plane compass_plane,a plane with a flexible face that can plane concave or convex surfaces,,,"[Synset('circular_plane.n.01')],",,,,l,l,l,no,n,,,,,,,
63,combination_plane,a woodworking plane that has interchangeable cutters of various shapes,,,"[Synset('combination_plane.n.01')],",,,,l,l,l,no,n,,,,,,,
64,dovetail_plane,a woodworking plane designed to make the grooves for dovetail joints,,,"[Synset('dovetail_plane.n.01')],",,,,l,l,l,no,n,,,,,,,
65,fore_plane,a carpenter's plane intermediate between a jack plane and a jointer plane,,,"[Synset('fore_plane.n.01')],",,,,l,l,l,no,n,,,,,,,
66,jack_plane,a carpenter's plane for rough finishing,,,"[Synset('jack_plane.n.01')],",,,,l,l,l,no,n,,,,,,,
67,jointer jointer_plane jointing_plane long_plane,a long carpenter's plane used to shape the edges of boards so they will fit together,,,"[Synset('jointer.n.01')],",,,,l,l,l,no,n,,,,,,,
68,match_plane tonguing_and_grooving_plane,a plane having cutters designed to make the tongues and grooves on the edges of matchboards,,,"[Synset('match_plane.n.01')],",,,,l,l,l,no,n,,,,,,,
69,openside_plane rabbet_plane,a woodworking plane designed to cut rabbets,,,"[Synset('openside_plane.n.01'),",,,,l,l,l,no,n,,,,,,,
70,dado_plane,a plane for making a dado groove,,,,"[Synset('dado_plane.n.01')]],",,,l,l,l,no,n,,,,,,,
71,router_plane,a woodworking plane with a narrow cutting head that will make grooves with smooth bottoms,,,"[Synset('router_plane.n.01')],",,,,l,l,l,no,n,,,,,,,
72,scrub_plane,a narrow woodworking plane used to cut away excess stock,,,"[Synset('scrub_plane.n.01')],",,,,l,l,l,no,n,,,,,,,
73,smooth_plane smoothing_plane,a small plane for finish work,,,"[Synset('smooth_plane.n.01')],",,,,l,l,l,no,n,,,,,,,
74,spokeshave,a small plane that has a handle on each side of its blade; used for shaping or smoothing cylindrical wooden surfaces (originally wheel spokes),,,"[Synset('spokeshave.n.01')]],",,,,l,l,l,no,n,,,,,,,
75,pliers pair_of_pliers plyers,a gripping hand tool with two hinged arms and (usually) serrated jaws,,"[Synset('pliers.n.01'),",,,,,b,b,b,yes,y,,,,,eigenlijk is de supercategorie van pincers en pliers het basic level. ,,
76,locking_pliers,pliers that can be locked in place,,,"[Synset('locking_pliers.n.01')],",,,,l,l,l,yes,y,,,,,,,
77,needlenose_pliers,small pliers with long thin jaws for fine work,,,"[Synset('needlenose_pliers.n.01')],",,,,l,l,l,yes,y,,,,,,,
78,pump-type_pliers,a type of pliers,,,"[Synset('pump-type_pliers.n.01')],",,,,l,l,l,yes,n,,,,,,,
79,rib_joint_pliers,a type of pliers,,,"[Synset('rib_joint_pliers.n.01')],",,,,l,l,l,no,y,,,,,,,
80,slip-joint_pliers,pliers with a joint adjustable to two positions in order to increase the opening of the jaws,,,"[Synset('slip-joint_pliers.n.01')]],",,,,l,l,l,yes,y,,,,,,,
81,plumber's_snake auger,a long flexible steel coil for dislodging stoppages in curved pipes,,"[Synset('plumber's_snake.n.01')],",,,,,l,b,b,yes,y,,,,,,,
82,plunger plumber's_helper,hand tool consisting of a stick with a rubber suction cup at one end; used to clean clogged drains,,"[Synset('plunger.n.03')],",,,,,b,b,b,yes,y,,,,,,,
83,ravehook,a hooked hand tool used to prepare the seams of a boat for oakum,,"[Synset('ravehook.n.01')],",,,,,l,b,b,no,n,,x,x,,some type of hook,,Googled and all alike
84,sandblaster,a tool that throws out a blast of steam laden with sand; used to clean or grind hard surfaces,,"[Synset('sandblaster.n.01')],",,,,,h,b,b,yes,n,,,,,"blazers van verschillende vorm en formaat, gerbruikt voor zandstralen.",,
85,saw,hand tool having a toothed blade for cutting,,"[Synset('saw.n.02'),",,,,,b,b,b,yes,y,,,,,,,Saw seemed to be basic level at first but then googling some below made me change this to h
86,bill billhook,a long-handled saw with a curved blade,,,"[Synset('bill.n.08')],",,,,l,l,l,no,y,,,,,,,
87,bucksaw,a saw that is set in a frame in the shape of an H; used with both hands to cut wood that is held in a sawbuck,,,"[Synset('bucksaw.n.01')],",,,,l,l,l,no,y,,,,,,,
88,crown_saw,a saw having teeth around the edge of a hollow cylinder,,,"[Synset('crown_saw.n.01')],",,,,l,l,l,no,y,,,,,,,This one looks different than the rest saws
89,folding_saw,a saw with a toothed blade that folds into a handle (the way a pocketknife folds),,,"[Synset('folding_saw.n.01')],",,,,l,l,l,yes,y,,,,,,,Not so confident about 88-91
90,hacksaw hack_saw metal_saw,saw used with one hand for cutting metal,,,"[Synset('hacksaw.n.01')],",,,,l,l,l,yes,y,,,,,,,
91,handsaw hand_saw carpenter's_saw,a saw used with one hand for cutting wood,,,"[Synset('handsaw.n.01'),",,,,l,l,l,yes,y,,,,,,,
92,backsaw back_saw,a handsaw that is stiffened by metal reinforcement along the upper edge,,,,"[Synset('backsaw.n.01')],",,,l,l,l,yes,y,,,,,,,
93,compass_saw,a handsaw with a narrow triangular blade for cutting curves,,,,"[Synset('compass_saw.n.01')],",,,l,l,l,yes,y,,,,,,,
94,coping_saw,a handsaw with a taut thin blade; used for cutting small curves in wood,,,,"[Synset('coping_saw.n.01')],",,,l,l,l,yes,y,,,,,,,
95,crosscut_saw crosscut_handsaw cutoff_saw,handsaw that cuts at right angles to the grain (or major axis),,,,"[Synset('crosscut_saw.n.01')],",,,l,l,l,yes,y,,,,,,,
96,keyhole_saw,a handsaw with a long narrow blade for cutting short radius curves; similar to a compass saw,,,,"[Synset('keyhole_saw.n.01')],",,,l,l,l,yes,y,,,,,,,
97,pruning_saw,a handsaw used for pruning trees,,,,"[Synset('pruning_saw.n.01'),",,,l,l,l,yes,y,,,,,,,
98,pruner pruning_hook lopper,a long-handled pruning saw with a curved blade at the end and sometimes a clipper; used to prune small trees,,,,,"[Synset('pruner.n.02')]],",,l,l,l,no,y,,,,,,,
99,ripsaw splitsaw,a handsaw for cutting with the grain of the wood,,,,"[Synset('ripsaw.n.01')]],",,,l,l,l,no,y,,,,,,,
100,two-handed_saw whipsaw two-man_saw lumberman's_saw,a saw with handles at both ends; intended for use by two people,,,"[Synset('two-handed_saw.n.01'),",,,,l,l,l,yes,y,,,,,,,
101,pitsaw,a large two-handed saw formerly used to cut logs into planks; one man stood above the log and the other in a pit below,,,,"[Synset('pitsaw.n.01')]]],",,,l,l,l,no,y,,,,,,,
102,scraper,any of various hand tools for scraping,,"[Synset('scraper.n.01')],",,,,,h,h,b,yes,y,,,,,,,
103,screwdriver,a hand tool for driving screws; has a tip that fits into the head of a screw,,"[Synset('screwdriver.n.01'),",,,,,b,b,b,yes,y,,,,,,,
104,flat_tip_screwdriver,a screwdriver with a flat wedge-shaped tip that fits into a slot in the head of a screw,,,"[Synset('flat_tip_screwdriver.n.01')],",,,,l,l,l,yes,y,,,,,,,
105,Phillips_screwdriver,a screwdriver for use with Phillips screws,,,"[Synset('phillips_screwdriver.n.01')],",,,,l,l,l,yes,y,,,,,,,
106,spiral_ratchet_screwdriver ratchet_screwdriver,a screwdriver with a ratchet (so the blade turns in only one direction) and a spiral in the handle (so the blade rotates) with downward pressure on the handle,,,"[Synset('spiral_ratchet_screwdriver.n.01')]],",,,,l,l,l,yes,n,,,,,,,
107,shovel,a hand tool for lifting loose material; consists of a curved container or scoop and a handle,,"[Synset('shovel.n.01'),",,,,,b,b,b,yes,y,,,,,,,
108,hand_shovel,a shovel that is operated by hand,,,"[Synset('hand_shovel.n.01'),",,,,l,l,l,yes,y,,,,,appear elsewhere,,
109,coal_shovel,a hand shovel for shoveling coal,,,,"[Synset('coal_shovel.n.01')],",,,l,l,l,yes,y,,,,,appear elsewhere,,
110,entrenching_tool trenching_spade,a hand shovel carried by infantrymen for digging trenches,,,,"[Synset('entrenching_tool.n.01')],",,,l,l,l,yes,y,,,,,appear elsewhere,,
111,spade,a sturdy hand shovel that can be pushed into the earth with the foot,,,,"[Synset('spade.n.02'),",,,l,l,b,yes,y,,,,,appear elsewhere,,
112,ditch_spade long-handled_spade,a spade with a long handle for digging narrow ditches,,,,,"[Synset('ditch_spade.n.01')],",,l,l,l,yes,y,,,,,appear elsewhere,,
113,garden_spade,a spade used by gardeners,,,,,"[Synset('garden_spade.n.01')]],",,l,l,l,yes,y,,,,,appear elsewhere,,
114,spud stump_spud,a sharp hand shovel for digging out roots and weeds,,,,"[Synset('spud.n.02')]],",,,l,l,l,yes,y,,,,,appear elsewhere,,
115,posthole_digger post-hole_digger,a shovel used to sink postholes,,,"[Synset('posthole_digger.n.01')],",,,,l,l,l,yes,y,,,,,"(actually, this is not a shovel, but more a type of pincer or auger.)",,
116,scoop scoop_shovel,the shovel or bucket of a dredge or backhoe,,,"[Synset('scoop.n.05')]],",,,,l,l,l,yes,y,,,,,,,
117,soldering_iron,a hand tool with a heatable tip; used to melt and apply solder,,"[Synset('soldering_iron.n.01')],",,,,,b,b,b,yes,y,,,,,,,
118,spatula,a hand tool with a thin flexible blade used to mix or spread soft substances,,"[Synset('spatula.n.02'),",,,,,h,b,b,yes,y,,,,,,,
119,palette_knife,a spatula used by artists for mixing or applying or scraping off oil paints,,,"[Synset('palette_knife.n.01')],",,,,l,l,l,yes,y,,,,,,,
120,putty_knife,a spatula used to mix or apply putty,,,"[Synset('putty_knife.n.01')],",,,,b,l,l,yes,y,,,,,"plamuurmes (dat zou ik nooit een spatel noemen, daarom is spatula geen bl)",,
121,slice,a spatula for spreading paint or ink,,,"[Synset('slice.n.06')]],",,,,l,l,l,yes,y,,,,,,,
122,spreader,a hand tool for spreading something,,"[Synset('spreader.n.01')],",,,,,h,b,b,yes,y,,,,,,,
123,square,a hand tool consisting of two straight arms at right angles; used to construct or test right angles,,"[Synset('square.n.08'),",,,,,b,b,b,yes,y,,,,,,,
124,carpenter's_square,a steel square used by carpenters; larger than a try square,,,"[Synset('carpenter's_square.n.01')],",,,,l,l,l,yes,y,,,,,,,
125,T-square,a square used by draftsmen to draw parallel lines,,,"[Synset('t-square.n.01')],",,,,l,l,l,yes,y,,,,,,,
126,try_square,a square having a metal ruler set at right angles to another straight piece,,,"[Synset('try_square.n.01'),",,,,l,l,l,yes,y,,,,,,,
127,set_square,a try square with an adjustable sliding head,,,,"[Synset('set_square.n.01')]]],",,,l,l,l,yes,y,,,,,,,
128,straightedge,hand tool consisting of a flat rigid rectangular bar (metal or wood) that can be used to draw straight lines (or test their straightness),,"[Synset('straightedge.n.01')],",,,,,b,b,b,yes,y,,,,,,,
129,tire_iron tire_tool,hand tool consisting of a lever that is used to force the casing of a pneumatic tire onto a steel wheel,,"[Synset('tire_iron.n.01')],",,,,,b,b,b,yes,y,,,,,?,,
130,trowel,a small hand tool with a handle and flat metal blade; used for scooping or spreading plaster or similar materials,,"[Synset('trowel.n.01'),",,,,,b,b,b,yes,y,,,,,? Lijkt wel op andere tools (plamuurmes?),,
131,brick_trowel mason's_trowel,a trowel used in masonry,,,"[Synset('brick_trowel.n.01')],",,,,l,l,l,yes,y,,,,,,,
132,garden_trowel,a trowel used by gardeners,,,"[Synset('garden_trowel.n.01')],",,,,l,l,l,yes,y,,,,,,,
133,plastering_trowel,a trowel used to spread and smooth plaster,,,"[Synset('plastering_trowel.n.01')],",,,,l,l,l,yes,y,,,,,,,
134,pointing_trowel,a trowel used to fill and finish masonry joints with mortar or cement,,,"[Synset('pointing_trowel.n.01')],",,,,l,l,l,yes,y,,,,,,,
135,slick,a trowel used to make a surface slick,,,"[Synset('slick.n.04')]],",,,,l,l,l,yes,y,,,,,,,
136,weeder weed-whacker,a hand tool for removing weeds,,"[Synset('weeder.n.02')],",,,,,b,b,b,yes,y,,,,,??,,
137,wire_stripper,a hand tool used by electricians to remove insulation from the cut end of an insulated wire,,"[Synset('wire_stripper.n.01')],",,,,,l,b,b,yes,y,,,,,een soort tang,"If 139 and 140 would have been in reverse order, I might have said ""l"" here ...",
138,wrench spanner,a hand tool that is used to hold or twist a nut or bolt,,"[Synset('wrench.n.03'),",,,,,b,b,b,yes,y,,,,,,,
139,adjustable_wrench adjustable_spanner,can be changed to different settings,,,"[Synset('adjustable_wrench.n.01'),",,,,l,l,l,yes,y,,,,,,,
140,crescent_wrench,an adjustable wrench designed to fit hexagonal nuts with the adjusting screw built into the head of the wrench,,,,"[Synset('crescent_wrench.n.01')],",,,l,l,l,yes,y,,,,,,,
141,monkey-wrench monkey_wrench,adjustable wrench that has one fixed and one adjustable jaw,,,,"[Synset('monkey-wrench.n.01')],",,,l,l,l,yes,y,,,,,,,
142,pipe_wrench tube_wrench,adjustable wrench for gripping and turning a pipe; has two serrated jaws that are adjusted to grip the pipe,,,,"[Synset('pipe_wrench.n.01'),",,,l,l,l,yes,y,,,,,,,
143,chain_tongs,a pipe wrench used for turning large pipes; an adjustable chain circles the pipe with its ends connected to the head whose teeth engage the pipe,,,,,"[Synset('chain_tongs.n.01'),",,l,l,l,no,y,,,,,,,
144,chain_wrench,another name for chain tongs,,,,,,"[Synset('chain_wrench.n.01')]],",l,l,l,no,y,,,,,,,
145,Stillson_wrench,a large pipe wrench with L-shaped adjustable jaws that tighten as pressure on the handle is increased,,,,,"[Synset('stillson_wrench.n.01')]],",,l,l,l,no,y,,,,,,,
146,screw_wrench,adjustable wrench that has one jaw that can be adjusted by turning a screw,,,,"[Synset('screw_wrench.n.01')]],",,,l,l,l,yes,y,,,,,,,
147,Allen_wrench,a wrench for Allen screws,,,"[Synset('allen_wrench.n.01')],",,,,l,l,l,yes,y,,,,,,,
148,alligator_wrench,a wrench with a v-shaped jaw and serrations on one side (resembles the open jaws of an alligator),,,"[Synset('alligator_wrench.n.01')],",,,,l,l,l,,y,,,,,,,
149,box_wrench box_end_wrench,a wrench with a closed loop (a socket) that fits over a nut or bolt head,,,"[Synset('box_wrench.n.01')],",,,,l,l,l,,y,,,,,,,
150,brace_wrench,a wrench shaped like a brace (has a handle shaped like a crank) and a socket head,,,"[Synset('brace_wrench.n.01')],",,,,l,l,l,,n,,,,,,,
151,bulldog_wrench,a wrench designed to provide a firm grip on something,,,"[Synset('bulldog_wrench.n.01')],",,,,l,l,l,,n,,,,,,,
152,carriage_wrench,a wrench designed for use with carriage bolts,,,"[Synset('carriage_wrench.n.01')],",,,,l,l,l,,n,,,,,,,
153,dog_wrench,a wrench with a handle shaped like a crank,,,"[Synset('dog_wrench.n.01')],",,,,l,l,l,,n,,,,,,,
154,hook_wrench hook_spanner,a wrench with a hook that fits over a nut or bolt head,,,"[Synset('hook_wrench.n.01')],",,,,l,l,l,,n,,,,,,,
155,lug_wrench,a wrench with jaws that have projecting lugs to engage the object that is to be rotated,,,"[Synset('lug_wrench.n.01')],",,,,l,l,l,,n,,,,,,,
156,open-end_wrench tappet_wrench,a wrench having parallel jaws at fixed separation (often on both ends of the handle),,,"[Synset('open-end_wrench.n.01'),",,,,l,l,l,,y,,,,,,,
157,S_wrench,a wrench with an S-shaped handle,,,,"[Synset('s_wrench.n.01')]],",,,l,l,l,,y,,,,,,,
158,pin_wrench,a wrench that has a projecting pin that fits into a socket on the object to be turned,,,"[Synset('pin_wrench.n.01')],",,,,l,l,l,,n,,,,,,,
159,screw_key,a wrench for turning a screw,,,"[Synset('screw_key.n.01')],",,,,l,l,l,,y,,,,,,,
160,socket_wrench,a wrench with a handle onto which sockets of different sizes can be fitted,,,"[Synset('socket_wrench.n.01')],",,,,l,l,l,,y,,,,,,,
161,sparkplug_wrench,a wrench for removing or tightening spark plugs into the cylinder head of an internal combustion engine,,,"[Synset('sparkplug_wrench.n.01')],",,,,l,l,l,,y,,,,,,,
162,tap_wrench,a wrench for turning a tap to create an internal screw thread,,,"[Synset('tap_wrench.n.01')],",,,,l,l,l,,y,,,,,,,
163,torque_wrench,a wrench that has a gauge that indicates the amount of torque being applied,,,[Synset('torque_wrench.n.01')]]],,,,l,l,l,,y,,,,,,,
