,Synonyms,Glossary,Synset in Hierarchy,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Label,A2_Label,A3_Label,Familiar,A2_Familiar,A3_Familiar,UnfamiliarANDunsure,A2_Unfamiliar,A3_Unfamiliar,Notes,A2_Notes,A3_Notes
0,musical_instrument instrument ,any of various devices or contrivances that can be used to produce musical tones or sounds,[Synset('musical_instrument.n.01'),,,,,,,,h,h,h,,y,,,,,,,
1,barrel_organ grind_organ hand_organ hurdy_gurdy hurdy-gurdy street_organ ,a musical instrument that makes music by rotation of a cylinder studded with pegs,,[Synset('barrel_organ.n.01')],,,,,,,b,b,h,,y,,,,,"draaiorgel, maar ook een kleiner doosje.",,Type of organ
2,bass ,the member with the lowest range of a family of musical instruments,,[Synset('bass.n.07'),,,,,,,h,h,h,,y,,,,,,,
3,bass_fiddle bass_viol bull_fiddle double_bass contrabass string_bass ,largest and lowest member of the violin family,,,[Synset('bass_fiddle.n.01')],,,,,,l,b,b,,y,,,,,,"contrabas = b, bass viool = l ...",
4,bass_guitar ,the guitar with six strings that has the lowest pitch,,,[Synset('bass_guitar.n.01')],,,,,,l,l,b,,y,,,,,,,
5,bass_horn sousaphone tuba ,the lowest brass wind instrument,,,[Synset('bass_horn.n.01'),,,,,,b,b,b,,y,,,,,tuba,,
6,euphonium ,a bass horn (brass wind instrument) that is the tenor of the tuba family,,,,[Synset('euphonium.n.01')],,,,,l,l,l,no,n,,,x,,,,
7,helicon bombardon ,a tuba that coils over the shoulder of the musician,,,,[Synset('helicon.n.01')]],,,,,l,l,l,no,n,,,x,,,,
8,bombardon bombard ,a large shawm; the bass member of the shawm family,,,[Synset('bombardon.n.02')]],,,,,,l,b,l,no,n,,x,x,,,,Googled and looked like tube
9,calliope steam_organ ,a musical instrument consisting of a series of steam whistles played from a keyboard,,[Synset('calliope.n.02')],,,,,,,l,b,l,no,n,,,x,,,,Type or organ
10,electronic_instrument electronic_musical_instrument ,a musical instrument that generates sounds electronically,,[Synset('electronic_instrument.n.01'),,,,,,,h,h,h,,y,,,,,,,
11,electric_organ electronic_organ Hammond_organ organ ,(music) an electronic simulation of a pipe organ,,,[Synset('electric_organ.n.01')],,,,,,l,b,b,,y,,,,,,basic because it does not look like an organ,
12,synthesizer synthesiser ,(music) an electronic instrument (usually played with a keyboard) that generates and modifies sounds electronically and can imitate a variety of other musical instruments,,,[Synset('synthesizer.n.02')],,,,,,b,b,b,,y,,,,,,,
13,theremin ,an electronic musical instrument; melodies can be played by moving the right hand between two rods that serve as antennas to control pitch; the left hand controls phrasing,,,[Synset('theremin.n.01')]],,,,,,b,b,b,no,n,,x,,,,,
14,jew's_harp jews'_harp mouth_bow ,a small lyre-shaped musical instrument that is placed between the teeth and played by twanging a wire tongue while changing the shape of the mouth cavity,,[Synset('jew's_harp.n.01')],,,,,,,b,b,b,no,n,,x,x,,,,
15,keyboard_instrument ,a musical instrument that is played by means of a keyboard,,[Synset('keyboard_instrument.n.01'),,,,,,,h,h,h,,y,,,,,,,
16,accordion piano_accordion squeeze_box ,a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player,,,[Synset('accordion.n.01')],,,,,,b,b,b,,y,,,,,,,
17,celesta ,a musical instrument consisting of graduated steel plates that are struck by hammers activated by a keyboard,,,[Synset('celesta.n.01')],,,,,,l,b,b,no,n,,x,,,,,
18,clavichord ,an early stringed instrument like a piano but with more delicate sound,,,[Synset('clavichord.n.01')],,,,,,l,b,b,no,n,,x,,,,,Googled and looked alike
19,clavier Klavier ,a stringed instrument that has a keyboard,,,[Synset('clavier.n.02'),,,,,,h,h,b,,y,,,,,Ik snap niet waarom piano hier niet onder valt,,
20,harpsichord cembalo ,a clavier with strings that are plucked by plectra mounted on pivots,,,,[Synset('harpsichord.n.01'),,,,,b,b,l,,y,,,,,,,
21,spinet ,early model harpsichord with only one string per note,,,,,[Synset('spinet.n.02')],,,,l,l,l,no,y,,,,,,,
22,virginal pair_of_virginals ,a legless rectangular harpsichord; played (usually by women) in the 16th and 17th centuries,,,,,[Synset('virginal.n.01')]]],,,,l,l,l,no,n,,,,,,,
23,organ pipe_organ ,wind instrument whose sound is produced by means of pipes arranged in sets supplied with air from a bellows and controlled from a large complex musical keyboard,,,[Synset('organ.n.05')],,,,,,b,b,b,,y,,,,,,,
24,piano pianoforte forte-piano ,a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds,,,[Synset('piano.n.01'),,,,,,b,b,b,,y,,,,,,,
25,grand_piano grand ,a piano with the strings on a horizontal harp-shaped frame; usually supported by three legs,,,,[Synset('grand_piano.n.01'),,,,,l,l,l,,y,,,,,,,
26,baby_grand baby_grand_piano parlor_grand parlor_grand_piano parlour_grand parlour_grand_piano ,a small grand piano,,,,,[Synset('baby_grand.n.01')],,,,l,l,l,,y,,,,,,,
27,concert_grand concert_piano ,a grand piano suitable for concert performances,,,,,[Synset('concert_grand.n.01')]],,,,l,l,l,,y,,,,,,,
28,mechanical_piano Pianola player_piano ,a mechanically operated piano that uses a roll of perforated paper to activate the keys,,,,[Synset('mechanical_piano.n.01')],,,,,l,l,l,,y,,,,,,,
29,upright upright_piano ,a piano with a vertical sounding board,,,,[Synset('upright.n.02'),,,,,l,l,l,no,y,,,,,,,
30,spinet ,a small and compactly built upright piano,,,,,[Synset('spinet.n.01')]]],,,,l,l,l,no,n,,,,,,,
31,synthesizer synthesiser ,(music) an electronic instrument (usually played with a keyboard) that generates and modifies sounds electronically and can imitate a variety of other musical instruments,,,[Synset('synthesizer.n.02')]],,,,,,X,b,X,,y,,,,,Appears twice in the hierarchy,,
32,music_box musical_box ,produces music by means of pins on a revolving cylinder that strike the tuned teeth of a comb-like metal plate,,[Synset('music_box.n.01')],,,,,,,b,b,b,,y,,,,,,,
33,percussion_instrument percussive_instrument ,a musical instrument in which the sound is produced by one object striking another,,[Synset('percussion_instrument.n.01'),,,,,,,h,h,h,,y,,,,,,,
34,bones castanets clappers finger_cymbals ,a percussion instrument consisting of a pair of hollow pieces of wood or bone (usually held between the thumb and fingers) that are made to click together (as by Spanish dancers) in rhythm with the dance,,,[Synset('bones.n.01')],,,,,,b,b,b,,y,,,,,,,
35,chime bell gong ,a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument,,,[Synset('chime.n.01'),,,,,,b,h,h,,y,,,,,,,
36,carillon ,set of bells hung in a bell tower,,,,[Synset('carillon.n.01')],,,,,l,b,b,,y,,,,,,,
37,handbell ,a bell that is held in the hand,,,,[Synset('handbell.n.01')]],,,,,l,b,b,,y,,,,,,,
38,cymbal ,a percussion instrument consisting of a concave brass disk; makes a loud crashing sound when hit with a drumstick or when two are struck together,,,[Synset('cymbal.n.01'),,,,,,b,h,b,,y,,,,,,,
39,high-hat_cymbal high_hat ,cymbals that are operated by a foot pedal,,,,[Synset('high-hat_cymbal.n.01')],,,,,l,b,l,,y,,,,,,,
40,zill ,one of a pair of small metallic cymbals worn on the thumb and middle finger; used in belly dancing in rhythm with the dance,,,,[Synset('zill.n.01')]],,,,,l,b,b,,y,,,,,,,Not sure as it is  like finger cymbal
41,drum membranophone tympan ,a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end,,,[Synset('drum.n.01'),,,,,,b,b,b,,y,,,,,,,
42,bass_drum gran_casa ,a large drum with two heads; makes a sound of indefinite but very low pitch,,,,[Synset('bass_drum.n.01')],,,,,l,l,l,,y,,,,,,,
43,bongo bongo_drum ,a small drum; played with the hands,,,,[Synset('bongo.n.01')],,,,,l,l,l,,y,,,,,,,
44,snare_drum snare side_drum ,a small drum with two heads and a snare stretched across the lower head,,,,[Synset('snare_drum.n.01')],,,,,l,l,l,,y,,,,,,,
45,tabor tabour ,a small drum with one head of soft calfskin,,,,[Synset('tabor.n.01')],,,,,l,l,l,,y,,,,,,,
46,tambour ,a drum,,,,[Synset('tambour.n.02')],,,,,l,l,l,,y,,,,,,,
47,tambourine ,a shallow drum with a single drumhead and with metallic disks in the sides,,,,[Synset('tambourine.n.01')],,,,,l,l,l,,y,,,,,if not under drum I would call this basic level,,
48,tenor_drum tom-tom ,any of various drums with small heads,,,,[Synset('tenor_drum.n.01')],,,,,l,l,l,,y,,,,,,,
49,timbrel ,small hand drum similar to a tambourine; formerly carried by itinerant jugglers,,,,[Synset('timbrel.n.01')]],,,,,l,l,l,,n,,,,,,,
50,glockenspiel orchestral_bells ,a percussion instrument consisting of a set of graduated metal bars mounted on a frame and played with small hammers,,,[Synset('glockenspiel.n.01')],,,,,,b,b,b,no,y,,x,,,the term glockenspiel is unclear to me. Is this a xylophone or a row of pipes?,,Googled and looked alike
51,gong tam-tam ,a percussion instrument consisting of a metal plate that is struck with a softheaded drumstick,,,[Synset('gong.n.01')],,,,,,b,b,b,,y,,,,,,,
52,kettle kettledrum tympanum tympani timpani ,a large hemispherical brass or copper percussion instrument with a drumhead that can be tuned by adjusting the tension on it,,,[Synset('kettle.n.04')],,,,,,l,b,l,no,y,,,,,should be under drum.n.01?,,Type of drum
53,lagerphone ,an Australian percussion instrument used for playing bush music; a long stick with bottle caps nailed loosely to it; played by hitting it with a stick or banging it on the ground,,,[Synset('lagerphone.n.01')],,,,,,b,b,b,no,n,,x,x,,,,Googled and looked alike
54,maraca ,a percussion instrument consisting of a hollow gourd containing pebbles or beans; often played in pairs,,,[Synset('maraca.n.01')],,,,,,b,b,b,,n,,,,,sambaballen,,Googled and looked alike
55,marimba xylophone ,a percussion instrument with wooden bars tuned to produce a chromatic scale and with resonators; played with small mallets,,,[Synset('marimba.n.01')],,,,,,b,b,b,,y,,,,,not sure if this should be basic level,,
56,piano pianoforte forte-piano ,a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds,,,[Synset('piano.n.01'),,,,,,X,h,X,,y,,,,,Appears three times in the hierarchy,upright piano = b,
57,grand_piano grand ,a piano with the strings on a horizontal harp-shaped frame; usually supported by three legs,,,,[Synset('grand_piano.n.01'),,,,,X,b,X,,y,,,,,Appears three times in the hierarchy,,
58,baby_grand baby_grand_piano parlor_grand parlor_grand_piano parlour_grand parlour_grand_piano ,a small grand piano,,,,,[Synset('baby_grand.n.01')],,,,X,l,X,,y,,,,,Appears three times in the hierarchy,,
59,concert_grand concert_piano ,a grand piano suitable for concert performances,,,,,[Synset('concert_grand.n.01')]],,,,X,l,X,,y,,,,,Appears three times in the hierarchy,,
60,mechanical_piano Pianola player_piano ,a mechanically operated piano that uses a roll of perforated paper to activate the keys,,,,[Synset('mechanical_piano.n.01')],,,,,X,b,X,,y,,,,,Appears three times in the hierarchy,,
61,upright upright_piano ,a piano with a vertical sounding board,,,,[Synset('upright.n.02'),,,,,X,b,X,,y,,,,,Appears three times in the hierarchy,,
62,spinet ,a small and compactly built upright piano,,,,,[Synset('spinet.n.01')]]],,,,X,l,X,,y,,,,,Appears three times in the hierarchy,,
63,rain_stick ,a percussion instrument that is made from a dried cactus branch that is hollowed out and filled with small pebbles and capped at both ends; makes the sound of falling rain when tilted; origin was in Chile where tribesmen used it in ceremonies to bring rain,,,[Synset('rain_stick.n.01')],,,,,,l,b,b,no,y,,x,,,,,Googled and looked alike
64,steel_drum ,a concave percussion instrument made from the metal top of an oil drum; has an array of flattened areas that produce different tones when struck (of Caribbean origin),,,[Synset('steel_drum.n.01')],,,,,,l,b,b,,y,,,,,I would say it's a drum (atthough not with a streched fabric top),,Googled and looked alike
65,triangle ,a percussion instrument consisting of a metal bar bent in the shape of an open triangle,,,[Synset('triangle.n.05')],,,,,,b,b,b,,y,,,,,,,
66,vibraphone vibraharp vibes ,a percussion instrument similar to a xylophone but having metal bars and rotating disks in the resonators that produce a vibrato sound,,,[Synset('vibraphone.n.01')]],,,,,,l,b,l,no,y,,x,,,,,Not sure as it looks like marimba
67,stringed_instrument ,a musical instrument in which taut strings provide the source of sound,,[Synset('stringed_instrument.n.01'),,,,,,,h,h,h,,y,,,,,,,
68,banjo ,a stringed instrument of the guitar family that has long neck and circular body,,,[Synset('banjo.n.01')],,,,,,b,b,b,,y,,,,,,,Googled and looked alike
69,bowed_stringed_instrument string ,stringed instruments that are played with a bow,,,[Synset('bowed_stringed_instrument.n.01'),,,,,,h,h,h,,y,,,,,,,
70,bass_fiddle bass_viol bull_fiddle double_bass contrabass string_bass ,largest and lowest member of the violin family,,,,[Synset('bass_fiddle.n.01')],,,,,X,b,X,,y,,,,,,,
71,cello violoncello ,a large stringed instrument; seated player holds it upright while playing,,,,[Synset('cello.n.01')],,,,,b,b,b,,y,,,,,,,
72,viol ,any of a family of bowed stringed instruments that preceded the violin family,,,,[Synset('viol.n.01'),,,,,h,h,h,no,n,,,x,,,,
73,viola_d'amore ,viol that is the tenor of the viol family,,,,,[Synset('viola_d'amore.n.01')],,,,l,b,l,no,n,,,x,,,,
74,viola_da_braccio ,a member of the viol family with approximately the range of a viola,,,,,[Synset('viola_da_braccio.n.01')],,,,l,b,l,no,n,,,x,,,,
75,viola_da_gamba gamba bass_viol ,viol that is the bass member of the viol family with approximately the range of the cello,,,,,[Synset('viola_da_gamba.n.01')]],,,,l,b,l,no,n,,,x,,,,
76,viola ,"a bowed stringed instrument slightly larger than a violin, tuned a fifth lower",,,,[Synset('viola.n.03')],,,,,l,b,b,,n,,,x,,altviool. I would say it's a violin,,
77,violin fiddle ,bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow,,,,[Synset('violin.n.01'),,,,,b,b,b,,y,,,,,,,
78,Amati ,a violin made by Nicolo Amati or a member of his family,,,,,[Synset('amati.n.02')],,,,l,l,l,no,y,,,,,,,
79,Guarnerius ,a violin made by a member of the Guarneri family,,,,,[Synset('guarnerius.n.03')],,,,l,l,l,no,y,,,,,,,
80,Stradavarius Strad ,a violin made by Antonio Stradivari or a member of his family,,,,,[Synset('stradavarius.n.01')]]],,,,l,l,l,,y,,,,,,,
81,chordophone ,"a stringed instrument of the group including harps, lutes, lyres, and zithers",,,[Synset('chordophone.n.01'),,,,,,h,h,h,,y,,,,,,,
82,balalaika ,a stringed instrument that has a triangular body and three strings,,,,[Synset('balalaika.n.01')],,,,,b,b,b,no,y,,x,,,,,
83,harp ,a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers,,,,[Synset('harp.n.01'),,,,,b,b,b,,y,,,,,,,
84,aeolian_harp aeolian_lyre wind_harp ,a harp having strings tuned in unison; they sound when wind passes over them,,,,,[Synset('aeolian_harp.n.01')],,,,l,l,l,no,y,,,,,,,
85,lyre ,a harp used by ancient Greeks for accompaniment,,,,,[Synset('lyre.n.01'),,,,l,l,l,,y,,,,,,,
86,trigon ,a triangular lyre of ancient Greece and Rome,,,,,,[Synset('trigon.n.03')]]],,,l,l,l,no,y,,,,,,,
87,lute ,"chordophone consisting of a plucked instrument having a pear-shaped body, a usually bent neck, and a fretted fingerboard",,,,[Synset('lute.n.02')],,,,,b,b,b,,y,,,,,,,Googled and looked alike
88,mandolin ,"a stringed instrument related to the lute, usually played with a plectrum",,,,[Synset('mandolin.n.01'),,,,,b,b,b,no,y,,x,,,although I would not recognise it as a mandoline,,
89,mandola ,an early type of mandolin,,,,,[Synset('mandola.n.01')]]],,,,l,l,l,no,n,,,,,,,
90,clavichord ,an early stringed instrument like a piano but with more delicate sound,,,[Synset('clavichord.n.01')],,,,,,X,b,X,,n,,,,,Appears twice in the hierarchy,,
91,clavier Klavier ,a stringed instrument that has a keyboard,,,[Synset('clavier.n.02'),,,,,,X,h,X,,y,,,,,Appears twice in the hierarchy,,
